neighbourhood,sum,mean
Bayswater,1069.6,66.85
Kew Gardens Hills,2183.109523809524,66.15483405483405
Boerum Hill,11285.961930024,65.9997773685614
Jamaica Hills,395.5,65.91666666666667
Little Neck,262.14285714285717,65.53571428571429
Long Island City,34670.60228871756,64.92622151445235
Morrisania,1686.7285714285715,64.87417582417582
Flushing,26414.29761904762,64.11237286176606
Chinatown,24459.060466007544,62.87676212341271
Park Slope,29527.670738088647,62.16351734334452
Rossville,61.0,61.0
Van Nest,853.5,60.964285714285715
Pelham Gardens,1798.1857142857143,59.93952380952381
Bellerose,598.4166666666666,59.84166666666666
Wakefield,4723.03725490196,59.78528170761975
Carroll Gardens,12943.511447463672,59.64751819107683
St. Albans,4830.204761904762,59.63215755437977
Kew Gardens,2024.7385714285715,59.551134453781515
Clason Point,1486.952380952381,59.478095238095236
Canarsie,10301.923809523809,59.20645867542419
Pelham Bay,769.4404761904761,59.187728937728934
West Farms,177.5,59.166666666666664
Castleton Corners,236.5,59.125
Silver Lake,236.5,59.125
New Dorp Beach,292.5,58.5
Rego Park,5556.821428571428,58.49285714285714
Edgemere,580.6833333333333,58.06833333333333
Woodlawn,688.2142857142858,57.35119047619048
Prince's Bay,171.42857142857144,57.142857142857146
Morris Heights,1192.297619047619,56.77607709750567
Bath Beach,1077.75,56.723684210526315
Concourse,3230.05,56.66754385964913
Ditmars Steinway,15386.589895821342,56.56834520522552
East Harlem,56551.79833253597,56.49530302950646
Kingsbridge,3741.1266666666666,55.01656862745098
Fort Greene,23840.198558482167,54.93133308406029
College Point,1533.2883116883118,54.76029684601114
St. George,3009.7199692780337,54.72218125960061
Laurelton,1859.5666666666666,54.693137254901956
Unionport,708.1785714285714,54.47527472527473
Williamsburg,189731.03629127252,54.42657380702023
Tremont,1082.8333333333335,54.14166666666667
Nolita,15967.504163360334,54.127132757153674
Forest Hills,6149.114546640574,53.93960128632082
Edenwald,859.0,53.6875
Flatlands,4354.954761904762,53.1092044134727
Washington Heights,47001.93391366624,52.989778933107374
Middle Village,1793.3601435094586,52.7458865738076
Sunset Park,20069.858667371318,52.26525694627947
Prospect Heights,17116.324859061162,52.18391725323525
South Ozone Park,1927.5666666666666,52.09639639639639
Westerleigh,208.33333333333334,52.083333333333336
Great Kills,156.2,52.06666666666666
Mariners Harbor,571.5833333333334,51.96212121212122
East Elmhurst,10171.243100278716,51.89409745040161
Cobble Hill,4872.483958158135,51.83493572508654
Stapleton,1133.3785714285714,51.51720779220779
Manhattan Beach,565.5595238095239,51.41450216450217
Williamsbridge,2306.714285714286,51.26031746031746
Cambria Heights,1533.6785714285716,51.122619047619054
Greenpoint,51170.18992606751,51.1190708552123
Longwood,3208.185221674877,50.923574947220274
South Slope,12679.802201740911,50.517140245979725
New Dorp,151.25,50.416666666666664
Harlem,126186.59189576631,50.414139790557854
Windsor Terrace,7309.374471302012,50.40947911242767
Dyker Heights,848.047619047619,49.88515406162465
Bull's Head,149.0,49.666666666666664
Queens Village,3276.3214285714284,48.900319829424305
City Island,781.5142857142857,48.84464285714286
Fieldston,585.2888888888889,48.77407407407407
Crown Heights,70873.05223747615,48.50996046370715
Two Bridges,3136.3215422508524,48.251100650013115
Corona,3563.6190476190477,48.15701415701416
Rosedale,3608.5035714285714,48.11338095238095
Richmond Hill,4618.738888888889,48.111863425925925
Emerson Hill,240.0,48.0
Maspeth,5836.778188286809,47.842444166285325
Midland Beach,334.64074074074074,47.8058201058201
Baychester,568.25,47.354166666666664
Bedford-Stuyvesant,162603.01458837153,47.295815761597304
Bergen Beach,755.3190476190476,47.20744047619048
Prospect-Lefferts Gardens,23946.303796369863,46.77012460228489
Fordham,2100.6666666666665,46.68148148148148
Gravesend,3855.750985221675,46.454831147249095
Dongan Hills,231.66666666666666,46.33333333333333
Fort Hamilton,2194.657654055077,45.72203445948077
Hollis,819.6,45.53333333333333
North Riverdale,364.12825158344384,45.51603144793048
Norwood,1713.7785714285715,45.099436090225566
East New York,10459.721870505282,45.08500806252277
New Springville,269.57142857142856,44.92857142857142
Westchester Square,357.0,44.625
Mott Haven,2612.1642857142856,44.27397094430992
Parkchester,2122.607450076805,44.22098854326677
East Flatbush,21604.616558363836,44.00125571968195
Richmondtown,131.5952380952381,43.86507936507937
Bay Ridge,6701.68253968254,43.801846664591764
West Brighton,831.9761904761905,43.788220551378444
Morningside Heights,13768.516915987238,43.57125606325076
Mount Eden,217.0,43.4
Ozone Park,2771.745238095238,43.308519345238096
Mount Hope,1207.857142857143,43.13775510204082
Astoria,37597.46658906959,43.01769632616658
Midwood,4538.1867635189665,42.412960406719314
Castle Hill,125.75,41.916666666666664
Kensington,6401.08918202765,41.83718419625915
Concourse Village,1579.2142857142858,41.558270676691734
Allerton,1767.5928571428572,41.10681063122924
Navy Yard,531.1761904761904,40.859706959706955
Olinville,283.3333333333333,40.476190476190474
Port Morris,1576.8214285714287,40.431318681318686
Whitestone,480.99047619047616,40.08253968253968
Ridgewood,13944.545807895807,39.61518695424945
Roosevelt Island,3609.3218253968253,39.23175897170462
Marble Hill,507.1666666666667,39.01282051282051
Flatbush,22348.60827189994,38.46576294647149
Coney Island,575.9904761904762,38.39936507936508
Borough Park,4087.8714285714286,37.850661375661375
Tompkinsville,1437.0619047619048,37.817418546365914
Highbridge,1113.5039682539682,37.11679894179894
Jackson Heights,8013.731805451995,36.76023763968805
Bushwick,80982.01706700452,36.39641216494585
Elmhurst,9492.171003801537,35.95519319621794
Claremont Village,930.1542726679713,35.775164333383515
Sunnyside,13605.497237175752,35.61648491407265
Graniteville,70.5,35.25
Woodhaven,3263.8357142857144,34.721656534954406
Inwood,8508.91055398007,34.58906729260191
Bay Terrace,169.13333333333333,33.82666666666667
South Beach,135.0,33.75
Bensonhurst,2227.2663561076606,33.74645994102516
Gerritsen Beach,33.333333333333336,33.333333333333336
Port Richmond,291.1,32.34444444444445
Bronxdale,567.952380952381,31.552910052910054
Belmont,566.6428571428571,31.480158730158728
University Heights,700.4642857142858,30.45496894409938
Soundview,527.8815331010453,29.32675183894696
Concord,460.64761904761906,28.79047619047619
Randall Manor,374.2,28.784615384615385
Schuylerville,368.5,28.346153846153847
Hunts Point,676.0714285714286,28.169642857142858
Co-op City,82.0,27.333333333333332
Morris Park,551.8571428571429,26.27891156462585
Woodside,8657.427821918534,25.166941342786437
Spuyten Duyvil,71.70430107526882,23.90143369175627
Glendale,1322.2428571428572,23.197243107769424
New Brighton,78.61666666666667,19.65416666666667
Melrose,151.06190476190477,18.882738095238096
Grant City,145.6547619047619,14.56547619047619
"Bay Terrace, Staten Island",1.8333333333333333,1.8333333333333333
